C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
C013:  10 FB      BPL  $FB       [C010=AD]   00 01 00 [..IZ.] FF
C010:  AD 02 20   LDA  $2002     [2002=??]   00 01 00 [..IZ.] FF
